Rank,Car,Sales
6,GMC Sierra,241522
7,Honda CR-V,238155
8,Toyota Tacoma,237323
9,Tesla Model Y,231400
10,Jeep Grand Cherokee,223345
11,Toyota Highlander,222805
12,Toyota Corolla,222216
13,Chevy Equinox,212072
14,Ford Explorer,207673
15,Tesla Model 3,198200
16,Nissan Rogue,186480
17,Jeep Wrangler,181409
18,Hyundai Tucson,175307
19,Subaru Crosstrek,155142
20,Honda Accord,154612
21,Mazda CX-5,151594
22,Subaru Outback,147262
23,Nissan Altima,139955
24,Ford Escape,137370
25,Honda Civic,133932
